Gene,Score,symbol
ENSG00000124383,11.881093,MPHOSPH10
ENSG00000177971,11.742234,IMP3
ENSG00000136718,11.306787,IMP4
ENSG00000118518,10.835563,RNF146
ENSG00000158769,10.240363,F11R
ENSG00000177595,10.137559,PIDD1
ENSG00000173273,10.120076,TNKS
ENSG00000180210,10.076974,F2
ENSG00000168646,10.020772,AXIN2
ENSG00000103126,10.020579,AXIN1
ENSG00000115041,10.00419,KCNIP3
ENSG00000107854,9.999417,TNKS2
ENSG00000169372,9.990893,CRADD
ENSG00000141456,9.94774,PELP1
ENSG00000102057,9.893382,KCND1
ENSG00000185774,9.875924,KCNIP4
ENSG00000182132,9.845054,KCNIP1
ENSG00000140941,9.844968,MAP1LC3B
ENSG00000106459,9.806378,NRF1
ENSG00000106144,9.653712,CASP2
ENSG00000113580,9.59138,NR3C1
ENSG00000061492,9.565605,WNT8A
ENSG00000173153,9.544831,ESRRA
ENSG00000120049,9.525219,KCNIP2
ENSG00000100150,9.503348,DEPDC5
ENSG00000184408,9.498287,KCND2
ENSG00000155876,9.451667,RRAGA
ENSG00000157240,9.415675,FZD1
ENSG00000103148,9.380988,NPRL3
ENSG00000171385,9.343089,KCND3
ENSG00000164603,9.342609,SAMTOR
ENSG00000080546,9.33155,SESN1
ENSG00000118162,9.246816,KPTN
ENSG00000107404,9.214849,DVL1
ENSG00000130766,9.20539,SESN2
ENSG00000085741,9.196116,WNT11
ENSG00000177058,9.036222,SLC38A9
ENSG00000083750,9.034368,RRAGB
ENSG00000155760,9.011057,FZD7
ENSG00000161202,9.003062,DVL3
ENSG00000162928,8.952979,PEX13
ENSG00000124587,8.941176,PEX6
ENSG00000106615,8.899372,RHEB
ENSG00000005844,8.873954,ITGAL
ENSG00000161011,8.865659,SQSTM1
ENSG00000082701,8.849238,GSK3B
ENSG00000198198,8.731184,SZT2
ENSG00000175224,8.611501,ATG13
ENSG00000109819,8.602994,PPARGC1A
ENSG00000090659,8.602105,CD209
ENSG00000107242,8.584649,PIP5K1B
ENSG00000155846,8.535104,PPARGC1B
ENSG00000130522,8.487205,JUND
ENSG00000141564,8.482463,RPTOR
ENSG00000167965,8.468354,MLST8
ENSG00000025039,8.450571,RRAGD
ENSG00000178184,8.441289,PARD6G
ENSG00000060971,8.44071,ACAA1
ENSG00000184500,8.431369,PROS1
ENSG00000143365,8.405026,RORC
ENSG00000125084,8.390977,WNT1
ENSG00000162738,8.3878565,VANGL2
ENSG00000180340,8.353908,FZD2
ENSG00000065268,8.313716,WDR18
ENSG00000102981,8.303016,PARD6A
ENSG00000131791,8.272882,PRKAB2
ENSG00000114388,8.242557,NPRL2
ENSG00000196408,8.241088,NOXO1
ENSG00000125740,8.179435,FOSB
ENSG00000239282,8.164707,CASTOR1
ENSG00000148498,8.163903,PARD3
ENSG00000073150,8.150962,PANX2
ENSG00000075290,8.148373,WNT8B
ENSG00000086666,8.109591,ZFAND6
ENSG00000104290,8.098247,FZD3
ENSG00000069667,8.094466,RORA
ENSG00000136891,8.030393,TEX10
ENSG00000123395,8.017037,ATG101
ENSG00000107611,8.016114,CUBN
ENSG00000160255,7.9242992,ITGB2
ENSG00000034713,7.8742657,GABARAPL2
ENSG00000180900,7.8693776,SCRIB
ENSG00000081189,7.867427,MEF2C
ENSG00000148840,7.8404703,PPRC1
ENSG00000110218,7.82918,PANX1
ENSG00000198793,7.7897596,MTOR
ENSG00000111203,7.7839775,ITFG2
