ENSG00000108821	ENSG00000164692
ENSG00000090776	ENSG00000108947
ENSG00000125266	ENSG00000108947
ENSG00000125266	ENSG00000090776
ENSG00000107796	ENSG00000163017
ENSG00000107796	ENSG00000159251
ENSG00000107796	ENSG00000143632
ENSG00000159251	ENSG00000143632
ENSG00000163017	ENSG00000159251
ENSG00000163017	ENSG00000143632
ENSG00000179639	ENSG00000149534
ENSG00000211891	ENSG00000179639
ENSG00000158869	ENSG00000149534
ENSG00000179639	ENSG00000158869
ENSG00000211891	ENSG00000149534
ENSG00000211891	ENSG00000158869
ENSG00000186393	ENSG00000204897
ENSG00000173908	ENSG00000204897
ENSG00000171446	ENSG00000204897
ENSG00000143631	ENSG00000204897
ENSG00000143631	ENSG00000173908
ENSG00000143631	ENSG00000186393
ENSG00000173908	ENSG00000186393
ENSG00000143631	ENSG00000171446
ENSG00000173908	ENSG00000171446
ENSG00000171446	ENSG00000186393
ENSG00000096384	ENSG00000109971
ENSG00000096384	ENSG00000005893
ENSG00000109971	ENSG00000005893
ENSG00000032742	ENSG00000094631
ENSG00000105355	ENSG00000032742
ENSG00000096384	ENSG00000032742
ENSG00000001626	ENSG00000032742
ENSG00000160299	ENSG00000116288
ENSG00000169379	ENSG00000116288
ENSG00000160299	ENSG00000096384
ENSG00000244734	ENSG00000177143
ENSG00000105355	ENSG00000160299
ENSG00000169379	ENSG00000094631
ENSG00000001626	ENSG00000169379
ENSG00000005893	ENSG00000032742
ENSG00000026025	ENSG00000177143
ENSG00000096384	ENSG00000116288
ENSG00000129538	ENSG00000177143
ENSG00000001626	ENSG00000116288
ENSG00000105355	ENSG00000169379
ENSG00000160299	ENSG00000032742
ENSG00000032742	ENSG00000116288
ENSG00000005893	ENSG00000094631
ENSG00000160299	ENSG00000169379
ENSG00000026025	ENSG00000005893
ENSG00000026025	ENSG00000147872
ENSG00000129538	ENSG00000147872
ENSG00000105355	ENSG00000116288
ENSG00000032742	ENSG00000169379
ENSG00000147872	ENSG00000094631
ENSG00000160299	ENSG00000005893
ENSG00000129538	ENSG00000244734
ENSG00000244734	ENSG00000116288
ENSG00000105355	ENSG00000244734
ENSG00000096384	ENSG00000169379
ENSG00000001626	ENSG00000094631
ENSG00000160299	ENSG00000244734
ENSG00000026025	ENSG00000116288
ENSG00000026025	ENSG00000001626
ENSG00000129538	ENSG00000116288
ENSG00000129538	ENSG00000169379
ENSG00000096384	ENSG00000244734
ENSG00000129538	ENSG00000005893
